AU_ID,Rowid,Year,Figure,Breakdown,Dissaggregation,Indicator,Outcome,Measure,Source,Yearlab
1,2358,2014,NA,Aberdeen city,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2014
2,2359,2015,NA,Aberdeen city,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2015
3,2360,2016,NA,Aberdeen city,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2016
4,2361,2017,90,Aberdeen city,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2017
5,2362,2014,NA,Aberdeenshire,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2014
6,2363,2015,NA,Aberdeenshire,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2015
7,2364,2016,NA,Aberdeenshire,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2016
8,2365,2017,72,Aberdeenshire,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2017
9,2366,2014,NA,Angus,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2014
10,2367,2015,NA,Angus,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2015
11,2368,2016,NA,Angus,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2016
12,2369,2017,81,Angus,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2017
13,2370,2014,NA,Argyll and Bute,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2014
14,2371,2015,NA,Argyll and Bute,Local authority,Access to superfast broadband,Economy,The percentage of residential and non-residential addresses where superfast broadband is available,Ofcom,2015
